CODIGO-IES;NM_PROGRAMA_IES;SG_ENTIDADE_ENSINO;NM_ENTIDADE_ENSINO;SG_UF_PROGRAMA;NM_REGIAO;NM_MUNICIPIO_PROGRAMA_IES;NM_MODALIDADE_PROGRAMA
22003010017P5;BIOTECNOLOGIA - REDE RENORBIO;FUFSE;FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
22003010017P5;BIOTECNOLOGIA - REDE RENORBIO;FUFPI;FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
22003010017P5;BIOTECNOLOGIA - REDE RENORBIO;UECE;UNIVERSIDADE ESTADUAL DO CEARÁ;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
22003010017P5;BIOTECNOLOGIA - REDE RENORBIO;UFRPE;UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
22003010017P5;BIOTECNOLOGIA - REDE RENORBIO;UFAL;UNIVERSIDADE FEDERAL DE ALAGOAS;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
22003010017P5;BIOTECNOLOGIA - REDE RENORBIO;FUFSE;FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
22003010017P5;BIOTECNOLOGIA - REDE RENORBIO;FUFPI;FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
22003010017P5;BIOTECNOLOGIA - REDE RENORBIO;UFPE;UNIVERSIDADE FEDERAL DE PERNAMBUCO;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
22003010017P5;BIOTECNOLOGIA - REDE RENORBIO;UFC;UNIVERSIDADE FEDERAL DO CEARÁ;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
22003010017P5;BIOTECNOLOGIA - REDE RENORBIO;UECE;UNIVERSIDADE ESTADUAL DO CEARÁ;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
22003010017P5;BIOTECNOLOGIA - REDE RENORBIO;FUFSE;FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
22003010017P5;BIOTECNOLOGIA - REDE RENORBIO;UFRN;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
22003010017P5;BIOTECNOLOGIA - REDE RENORBIO;UFRPE;UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
22003010017P5;BIOTECNOLOGIA - REDE RENORBIO;UFPE;UNIVERSIDADE FEDERAL DE PERNAMBUCO;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
22003010017P5;BIOTECNOLOGIA - REDE RENORBIO;UFC;UNIVERSIDADE FEDERAL DO CEARÁ;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
22003010017P5;BIOTECNOLOGIA - REDE RENORBIO;UECE;UNIVERSIDADE ESTADUAL DO CEARÁ;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
22003010017P5;BIOTECNOLOGIA - REDE RENORBIO;FUFPI;FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
22003010017P5;BIOTECNOLOGIA - REDE RENORBIO;UFES;UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
22003010017P5;BIOTECNOLOGIA - REDE RENORBIO;UFPE;UNIVERSIDADE FEDERAL DE PERNAMBUCO;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
22003010017P5;BIOTECNOLOGIA - REDE RENORBIO;FUFPI;FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
22003010017P5;BIOTECNOLOGIA - REDE RENORBIO;UFRPE;UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
22003010017P5;BIOTECNOLOGIA - REDE RENORBIO;UFC;UNIVERSIDADE FEDERAL DO CEARÁ;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
22003010017P5;BIOTECNOLOGIA - REDE RENORBIO;FUFSE;FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
22003010017P5;BIOTECNOLOGIA - REDE RENORBIO;UFRPE;UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
22003010017P5;BIOTECNOLOGIA - REDE RENORBIO;UFPE;UNIVERSIDADE FEDERAL DE PERNAMBUCO;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
22003010017P5;BIOTECNOLOGIA - REDE RENORBIO;UFMA;UNIVERSIDADE FEDERAL DO MARANHÃO;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
22003010017P5;BIOTECNOLOGIA - REDE RENORBIO;FUFPI;FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
22003010017P5;BIOTECNOLOGIA - REDE RENORBIO;UFES;UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
22003010017P5;BIOTECNOLOGIA - REDE RENORBIO;UFRPE;UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
22003010017P5;BIOTECNOLOGIA - REDE RENORBIO;UFPE;UNIVERSIDADE FEDERAL DE PERNAMBUCO;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
22003010017P5;BIOTECNOLOGIA - REDE RENORBIO;UFRPE;UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
22003010017P5;BIOTECNOLOGIA - REDE RENORBIO;FUFPI;FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
22003010017P5;BIOTECNOLOGIA - REDE RENORBIO;UFPE;UNIVERSIDADE FEDERAL DE PERNAMBUCO;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
22003010017P5;BIOTECNOLOGIA - REDE RENORBIO;FUFPI;FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
22003010017P5;BIOTECNOLOGIA - REDE RENORBIO;UFRPE;UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
22003010017P5;BIOTECNOLOGIA - REDE RENORBIO;UFMA;UNIVERSIDADE FEDERAL DO MARANHÃO;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
22003010017P5;BIOTECNOLOGIA - REDE RENORBIO;UFC;UNIVERSIDADE FEDERAL DO CEARÁ;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
22003010017P5;BIOTECNOLOGIA - REDE RENORBIO;UFBA;UNIVERSIDADE FEDERAL DA BAHIA;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
22003010017P5;BIOTECNOLOGIA - REDE RENORBIO;UFAL;UNIVERSIDADE FEDERAL DE ALAGOAS;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
22003010017P5;BIOTECNOLOGIA - REDE RENORBIO;UFRPE;UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
22003010017P5;BIOTECNOLOGIA - REDE RENORBIO;UFBA;UNIVERSIDADE FEDERAL DA BAHIA;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
22003010017P5;BIOTECNOLOGIA - REDE RENORBIO;UECE;UNIVERSIDADE ESTADUAL DO CEARÁ;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
22003010017P5;BIOTECNOLOGIA - REDE RENORBIO;UFPE;UNIVERSIDADE FEDERAL DE PERNAMBUCO;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
22003010017P5;BIOTECNOLOGIA - REDE RENORBIO;UECE;UNIVERSIDADE ESTADUAL DO CEARÁ;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
22003010017P5;BIOTECNOLOGIA - REDE RENORBIO;FUFPI;FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
22003010017P5;BIOTECNOLOGIA - REDE RENORBIO;UECE;UNIVERSIDADE ESTADUAL DO CEARÁ;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
22003010017P5;BIOTECNOLOGIA - REDE RENORBIO;UFMA;UNIVERSIDADE FEDERAL DO MARANHÃO;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
22003010017P5;BIOTECNOLOGIA - REDE RENORBIO;UFRPE;UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
22003010018P1;CIÊNCIA DA COMPUTAÇÃO;UECE;UNIVERSIDADE ESTADUAL DO CEARÁ;CE;NORDESTE    ;FORTALEZA            ;ACADÊMICO   
22003010019P8;PLANEJAMENTO E POLITICAS PÚBLICAS;UECE;UNIVERSIDADE ESTADUAL DO CEARÁ;CE;NORDESTE    ;FORTALEZA            ;PROFISSIONAL
22003010022P9;NUTRIÇÃO E SAÚDE;UECE;UNIVERSIDADE ESTADUAL DO CEARÁ;CE;NORDESTE    ;FORTALEZA            ;ACADÊMICO   
22003010023P5;ENSINO NA SAÚDE;UECE;UNIVERSIDADE ESTADUAL DO CEARÁ;CE;NORDESTE    ;FORTALEZA            ;PROFISSIONAL
22003010024P1;GESTÃO DE NEGÓCIOS TURÍSTICOS;UECE;UNIVERSIDADE ESTADUAL DO CEARÁ;CE;NORDESTE    ;FORTALEZA            ;PROFISSIONAL
22003010025P8;SERVIÇO SOCIAL, TRABALHO E QUESTÃO SOCIAL;UECE;UNIVERSIDADE ESTADUAL DO CEARÁ;CE;NORDESTE    ;FORTALEZA            ;ACADÊMICO   
22003010026P4;RECURSOS NATURAIS;UECE;UNIVERSIDADE ESTADUAL DO CEARÁ;CE;NORDESTE    ;FORTALEZA            ;ACADÊMICO   
22003010027P0;EDUCAÇÃO E ENSINO (MAIE);UECE;UNIVERSIDADE ESTADUAL DO CEARÁ;CE;NORDESTE    ;LIMOEIRO DO NORTE    ;ACADÊMICO   
22003010028P7;BIOTECNOLOGIA EM SAÚDE HUMANA E ANIMAL;UECE;UNIVERSIDADE ESTADUAL DO CEARÁ;CE;NORDESTE    ;FORTALEZA            ;PROFISSIONAL
22003010028P7;BIOTECNOLOGIA EM SAÚDE HUMANA E ANIMAL;UESPI;FUNDACAO UNIVERSIDADE ESTADUAL DO PIAUI FUESPI;CE;NORDESTE    ;FORTALEZA            ;PROFISSIONAL
22003010028P7;BIOTECNOLOGIA EM SAÚDE HUMANA E ANIMAL;UECE;UNIVERSIDADE ESTADUAL DO CEARÁ;CE;NORDESTE    ;FORTALEZA            ;PROFISSIONAL
22003010070P3;CLIMATOLOGIA E APLICAÇÕES NOS PAÍSES DA CPLP E ÁFRICA;UECE;UNIVERSIDADE ESTADUAL DO CEARÁ;CE;NORDESTE    ;FORTALEZA            ;PROFISSIONAL
22003010071P0;GESTÃO EM SAÚDE;UECE;UNIVERSIDADE ESTADUAL DO CEARÁ;CE;NORDESTE    ;FORTALEZA            ;PROFISSIONAL
22003010072P6;INTERDISCIPLINAR EM HISTÓRIA E LETRAS - MIHL;UECE;UNIVERSIDADE ESTADUAL DO CEARÁ;CE;NORDESTE    ;QUIXADÁ              ;ACADÊMICO   
22003010074P9;POLÍTICAS PÚBLICAS;UECE;UNIVERSIDADE ESTADUAL DO CEARÁ;CE;NORDESTE    ;FORTALEZA            ;ACADÊMICO   
22004017002P4;ZOOTECNIA;UVA-CE;UNIVERSIDADE ESTADUAL VALE DO ACARAÚ;CE;NORDESTE    ;SOBRAL               ;ACADÊMICO   
22004017003P0;GEOGRAFIA;UVA-CE;UNIVERSIDADE ESTADUAL VALE DO ACARAÚ;CE;NORDESTE    ;SOBRAL               ;ACADÊMICO   
22005013001P4;BIOPROSPECÇÃO MOLECULAR;URCA;UNIVERSIDADE REGIONAL DO CARIRI;CE;NORDESTE    ;CRATO                ;ACADÊMICO   
22005013002P0;ENFERMAGEM;URCA;UNIVERSIDADE REGIONAL DO CARIRI;CE;NORDESTE    ;CRATO                ;ACADÊMICO   
22005013003P7;EDUCAÇÃO;URCA;UNIVERSIDADE REGIONAL DO CARIRI;CE;NORDESTE    ;CRATO                ;PROFISSIONAL
22005013004P3;QUÍMICA BIOLÓGICA;URCA;UNIVERSIDADE REGIONAL DO CARIRI;CE;NORDESTE    ;CRATO                ;ACADÊMICO   
22008012001P3;TECNOLOGIA E GESTÃO AMBIENTAL;IFCE;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ;CE;NORDESTE    ;FORTALEZA            ;ACADÊMICO   
22008012002P0;TECNOLOGIA DE ALIMENTOS;IFCE;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ;CE;NORDESTE    ;LIMOEIRO DO NORTE    ;ACADÊMICO   
22008012003P6;ENGENHARIA DE TELECOMUNICAÇÕES;IFCE;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ;CE;NORDESTE    ;FORTALEZA            ;ACADÊMICO   
22008012004P2;CIÊNCIA DA COMPUTAÇÃO;IFCE;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ;CE;NORDESTE    ;FORTALEZA            ;ACADÊMICO   
22008012005P9;ENERGIAS RENOVÁVEIS;IFCE;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ;CE;NORDESTE    ;FORTALEZA            ;ACADÊMICO   
22008012006P5;ENSINO DE CIÊNCIAS E MATEMÁTICA;IFCE;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ;CE;NORDESTE    ;FORTALEZA            ;ACADÊMICO   
22011013001P0;SOCIOBIODIVERSIDADE E TECNOLOGIAS SUSTENTÁVEIS;UNILAB;UNIVERSIDADE DA INTEGRAÇÃO INTERNACIONAL DA LUSOFONIA AFRO-BRASILEIRA;CE;NORDESTE    ;REDENÇÃO             ;ACADÊMICO   
22011013002P7;INTERDISCIPLINAR EM HUMANIDADES;UNILAB;UNIVERSIDADE DA INTEGRAÇÃO INTERNACIONAL DA LUSOFONIA AFRO-BRASILEIRA;CE;NORDESTE    ;REDENÇÃO             ;ACADÊMICO   
22011013003P3;ENFERMAGEM;UNILAB;UNIVERSIDADE DA INTEGRAÇÃO INTERNACIONAL DA LUSOFONIA AFRO-BRASILEIRA;CE;NORDESTE    ;REDENÇÃO             ;ACADÊMICO   
22012010001P0;DIREITO;UNI7;CENTRO UNIVERSITÁRIO 7 DE SETEMBRO;CE;NORDESTE    ;FORTALEZA            ;ACADÊMICO   
22021019001P2;BIOTECNOLOGIA;UNINTA;CENTRO UNIVERSITÁRIO INTA;CE;NORDESTE    ;SOBRAL               ;ACADÊMICO   
22033017001P7;DESENVOLVIMENTO REGIONAL SUSTENTÁVEL;UFCA;UNIVERSIDADE FEDERAL DO CARIRI;CE;NORDESTE    ;CRATO                ;ACADÊMICO   
22033017002P3;BIBLIOTECONOMIA;UFCA;UNIVERSIDADE FEDERAL DO CARIRI;CE;NORDESTE    ;JUAZEIRO DO NORTE    ;PROFISSIONAL
23001011001P1;EDUCAÇÃO;UFRN;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
23001011003P4;PSICOBIOLOGIA;UFRN;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
23001011004P0;CIÊNCIAS SOCIAIS;UFRN;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
23001011005P7;CIÊNCIAS ODONTOLÓGICAS;UFRN;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
23001011007P0;ADMINISTRAÇÃO;UFRN;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
23001011008P6;ENGENHARIA ELÉTRICA;UFRN;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
23001011009P2;ENGENHARIA MECÂNICA;UFRN;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
23001011010P0;FÍSICA;UFRN;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
23001011011P7;ENGENHARIA QUÍMICA;UFRN;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
23001011012P3;QUÍMICA;UFRN;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
23001011013P0;ESTUDOS DA LINGUAGEM;UFRN;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
23001011015P2;ECOLOGIA;UFRN;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
23001011018P1;GEODINÂMICA E GEOFÍSICA;UFRN;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
23001011020P6;BIOQUÍMICA;UFRN;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
23001011021P2;ENGENHARIA DE PRODUÇÃO;UFRN;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
23001011022P9;SISTEMAS E COMPUTAÇÃO;UFRN;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
23001011023P5;ENGENHARIA SANITÁRIA;UFRN;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
23001011024P1;ARQUITETURA E URBANISMO;UFRN;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
23001011025P8;PSICOLOGIA;UFRN;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
23001011026P4;CIÊNCIA E ENGENHARIA DE MATERIAIS;UFRN;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
23001011027P0;SERVIÇO SOCIAL;UFRN;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
23001011028P7;GEOGRAFIA;UFRN;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
23001011029P3;ENFERMAGEM;UFRN;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
23001011030P1;FILOSOFIA;UFRN;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
23001011031P8;CIÊNCIAS DA SAÚDE;UFRN;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
23001011032P4;ENSINO DE CIÊNCIAS NATURAIS E MATEMÁTICA;UFRN;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;RN;NORDESTE    ;NATAL                ;PROFISSIONAL
23001011033P0;SAÚDE COLETIVA;UFRN;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
23001011034P7;DIREITO;UFRN;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
23001011035P3;CIÊNCIAS BIOLÓGICAS;UFRN;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
23001011036P0;DESENVOLVIMENTO E MEIO AMBIENTE;UFRN;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
23001011037P6;ANTROPOLOGIA SOCIAL;UFRN;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;RN;NORDESTE    ;NATAL                ;ACADÊMICO   
